Time (ms),Measured Pitch,Commanded Pitch
15343.0,0.41,0.0
15353.0,0.34,0.0
15363.0,0.37,0.0
15372.0,0.43,0.0
15382.0,0.4,0.0
15391.0,0.33,0.0
15401.0,0.26,0.0
15411.0,0.33,0.0
15420.0,0.38,0.0
15430.0,0.42,0.0
15439.0,0.34,0.0
15450.0,0.27,0.0
15459.0,0.35,0.0
15468.0,0.4,0.0
15478.0,0.38,0.0
15488.0,0.3,0.0
15498.0,0.23,0.0
15507.0,0.27,0.0
15516.0,0.2,0.0
15526.0,0.12,0.0
15536.0,0.04,0.0
15546.0,0.1,0.0
15555.0,0.17,0.0
15564.0,0.24,0.0
15575.0,0.3,0.0
15584.0,0.37,0.0
15594.0,0.3,0.0
15603.0,0.21,6.99
15612.0,0.14,6.99
15623.0,0.09,6.99
15632.0,0.42,6.99
15642.0,1.44,6.99
15651.0,2.9,6.99
15661.0,4.52,6.99
15671.0,6.01,6.99
15680.0,6.89,6.99
15689.0,7.15,6.99
15699.0,7.11,6.99
15709.0,7.1,6.99
15719.0,7.16,6.99
15728.0,7.25,6.99
15737.0,7.25,6.99
15748.0,7.19,6.99
15757.0,7.15,6.99
15767.0,7.21,6.99
15776.0,7.22,6.99
15785.0,7.16,6.99
15796.0,7.13,6.99
15805.0,7.19,6.99
15815.0,7.1,6.99
15824.0,7.03,6.99
15834.0,7.08,6.99
15844.0,7.04,6.99
15853.0,6.96,6.99
15863.0,6.91,6.99
15873.0,6.95,6.99
15882.0,6.88,6.99
15892.0,6.84,6.99
15901.0,6.87,6.99
15911.0,6.81,6.99
15921.0,6.74,6.99
15930.0,6.74,6.99
15940.0,6.65,6.99
15949.0,6.57,6.99
15960.0,6.54,6.99
15969.0,6.61,6.99
15978.0,6.67,6.99
15988.0,6.66,6.99
15997.0,6.71,6.99
16008.0,6.78,6.99
16017.0,6.76,6.99
16026.0,6.83,6.99
16036.0,6.78,6.99
16046.0,6.71,6.99
16056.0,6.65,6.99
16065.0,6.69,6.99
16074.0,6.67,6.99
16084.0,6.73,6.99
16094.0,6.72,6.99
16103.0,6.79,6.99
16113.0,6.72,0.0
16122.0,6.64,0.0
16133.0,6.71,0.0
16142.0,6.77,0.0
16151.0,6.62,0.0
16161.0,5.96,0.0
16171.0,4.71,0.0
16181.0,3.11,0.0
16190.0,1.69,0.0
16199.0,0.58,0.0
16209.0,0.13,0.0
16219.0,0.09,0.0
16229.0,0.06,0.0
16238.0,0.08,0.0
16247.0,-0.03,0.0
16258.0,-0.12,0.0
16267.0,-0.15,0.0
16277.0,-0.12,0.0
16286.0,-0.09,0.0
16295.0,-0.08,0.0
16306.0,-0.14,0.0
16315.0,-0.16,0.0
16325.0,-0.09,0.0
16334.0,-0.03,0.0
16344.0,-0.02,0.0
16354.0,-0.1,0.0
16363.0,-0.12,0.0
16373.0,-0.03,0.0
16382.0,0.02,0.0
16392.0,-0.07,0.0
16402.0,-0.11,0.0
16411.0,-0.03,0.0
16421.0,0.03,0.0
16431.0,0.03,0.0
16440.0,-0.04,0.0
16450.0,0.02,0.0
16459.0,0.09,0.0
16468.0,0.14,0.0
16479.0,0.13,0.0
16488.0,0.13,0.0
16498.0,0.19,0.0
16507.0,0.26,0.0
16517.0,0.28,0.0
16527.0,0.2,0.0
16536.0,0.14,0.0
16546.0,0.06,0.0
16556.0,0.13,0.0
16565.0,0.14,0.0
16575.0,0.21,0.0
16584.0,0.27,0.0
16594.0,0.31,0.0
16604.0,0.38,0.0
16613.0,0.29,0.0
16623.0,0.22,-2.29
16632.0,0.17,-2.29
16643.0,0.21,-2.29
16652.0,-0.01,-2.29
16661.0,-0.62,-2.29
16671.0,-1.44,-2.29
16680.0,-2.16,-2.29
16691.0,-2.36,-2.29
16700.0,-2.15,-2.29
16709.0,-1.74,-2.29
16719.0,-1.46,-2.29
16729.0,-1.34,-2.29
16739.0,-1.46,-2.29
16748.0,-1.71,-2.29
16757.0,-1.83,-2.29
16768.0,-1.81,-2.29
16777.0,-1.76,-2.29
16787.0,-1.68,-2.29
16796.0,-1.71,-2.29
16805.0,-1.75,-2.29
16816.0,-1.86,-2.29
16825.0,-1.88,-2.29
16835.0,-1.91,-2.29
16844.0,-1.85,-2.29
16854.0,-1.82,-2.29
16864.0,-1.94,-2.29
16873.0,-2.02,-2.29
16882.0,-2.06,-2.29
16892.0,-1.97,-2.29
16902.0,-1.92,-2.29
